bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.82,0.83,0.83,219
1,0.57,0.68,0.62,73
2,0.77,0.79,0.78,173
3,0.76,0.72,0.74,178
4,0.75,0.71,0.73,116
5,0.56,0.36,0.44,25
6,0.80,0.87,0.83,124
7,1.00,0.36,0.53,33
8,0.66,0.63,0.65,98
9,0.90,0.73,0.81,153
10,0.85,0.85,0.85,444
11,0.87,0.88,0.88,333
12,0.82,0.61,0.70,76
13,0.92,0.99,0.95,3949
14,0.78,0.68,0.72,258
15,0.75,0.78,0.76,81
16,0.72,0.70,0.71,236
17,0.70,0.30,0.42,23
18,0.85,0.79,0.82,196
19,0.88,0.32,0.47,22
20,0.79,0.74,0.77,406
21,0.87,0.87,0.87,382
22,0.74,0.67,0.70,132
23,0.64,0.74,0.68,129
24,0.67,0.44,0.53,32
25,1.00,0.16,0.27,38
26,0.74,0.52,0.61,50
27,0.79,0.79,0.79,80
28,1.00,0.50,0.67,2
29,0.71,0.71,0.71,52
30,0.74,0.51,0.61,137
31,0.00,0.00,0.00,2
32,0.00,0.00,0.00,2
33,0.82,0.69,0.75,54
34,0.71,0.67,0.69,33
35,1.00,0.11,0.20,9
36,1.00,0.55,0.71,11
avg,0.76,0.60,0.64,8361

cnn[2,3,4](conv1d=100)|maxpooling1d=4|flatten|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.90,0.94,0.92,219
1,0.86,0.85,0.86,73
2,0.88,0.90,0.89,173
3,0.90,0.89,0.90,178
4,0.94,0.88,0.91,116
5,0.81,0.52,0.63,25
6,0.93,0.96,0.94,124
7,1.00,0.45,0.62,33
8,0.93,0.82,0.87,98
9,0.99,0.77,0.87,153
10,0.93,0.89,0.91,444
11,0.94,0.97,0.95,333
12,0.98,0.84,0.91,76
13,0.93,0.99,0.96,3949
14,0.86,0.82,0.84,258
15,0.96,0.90,0.93,81
16,0.87,0.87,0.87,236
17,0.75,0.65,0.70,23
18,0.93,0.86,0.90,196
19,1.00,0.77,0.87,22
20,0.90,0.85,0.87,406
21,0.94,0.92,0.93,382
22,0.93,0.86,0.89,132
23,0.91,0.89,0.90,129
24,1.00,0.72,0.84,32
25,0.92,0.29,0.44,38
26,0.92,0.72,0.81,50
27,0.93,0.86,0.90,80
28,1.00,0.50,0.67,2
29,0.92,0.87,0.89,52
30,0.88,0.75,0.81,137
31,1.00,0.50,0.67,2
32,1.00,0.50,0.67,2
33,1.00,0.67,0.80,54
34,0.96,0.79,0.87,33
35,1.00,0.33,0.50,9
36,1.00,0.82,0.90,11
avg,0.93,0.77,0.83,8361

