bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.884,0.909,0.896,219
1,0.603,0.603,0.603,73
2,0.818,0.832,0.825,173
3,0.721,0.770,0.745,178
4,0.765,0.759,0.762,116
5,0.571,0.480,0.522,25
6,0.792,0.831,0.811,124
7,0.735,0.758,0.746,33
8,0.721,0.633,0.674,98
9,0.882,0.882,0.882,153
10,0.905,0.919,0.912,444
11,0.879,0.898,0.889,333
12,0.847,0.803,0.824,76
13,0.979,0.986,0.982,3949
14,0.836,0.849,0.842,258
15,0.812,0.691,0.747,81
16,0.712,0.691,0.701,236
17,0.118,0.087,0.100,23
18,0.825,0.842,0.833,196
19,0.583,0.318,0.412,22
20,0.767,0.803,0.785,406
21,0.907,0.921,0.914,382
22,0.703,0.682,0.692,132
23,0.748,0.806,0.776,129
24,0.654,0.531,0.586,32
25,0.704,0.500,0.585,38
26,0.826,0.760,0.792,50
27,0.766,0.738,0.752,80
28,0.000,0.000,0.000,2
29,0.792,0.808,0.800,52
30,0.734,0.686,0.709,137
31,0.000,0.000,0.000,2
32,0.000,0.000,0.000,2
33,0.906,0.889,0.897,54
34,0.769,0.606,0.678,33
35,1.000,0.333,0.500,9
36,0.800,0.727,0.762,11
mac avg,0.704,0.658,0.674,8361
macro avg weighted,0.8875017898541412,0.8899653151536897,0.888086850910645,None
micro avg,0.8899653151536897,0.8899653151536897,0.8899653151536897,None
accuracy on this run=0.8899653151536897

cnn[2,3,4](conv1d=100)|maxpooling1d=4|flatten|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.878,0.918,0.897,219
1,0.694,0.589,0.637,73
2,0.833,0.809,0.821,173
3,0.744,0.719,0.731,178
4,0.738,0.776,0.756,116
5,0.800,0.480,0.600,25
6,0.676,0.790,0.729,124
7,0.767,0.697,0.730,33
8,0.756,0.633,0.689,98
9,0.908,0.843,0.875,153
10,0.864,0.919,0.891,444
11,0.889,0.889,0.889,333
12,0.836,0.803,0.819,76
13,0.974,0.988,0.981,3949
14,0.833,0.814,0.824,258
15,0.848,0.691,0.762,81
16,0.751,0.703,0.726,236
17,0.300,0.261,0.279,23
18,0.817,0.821,0.819,196
19,0.500,0.273,0.353,22
20,0.750,0.828,0.787,406
21,0.887,0.921,0.904,382
22,0.683,0.735,0.708,132
23,0.720,0.736,0.728,129
24,0.571,0.500,0.533,32
25,0.708,0.447,0.548,38
26,0.812,0.780,0.796,50
27,0.787,0.738,0.761,80
28,0.000,0.000,0.000,2
29,0.925,0.712,0.804,52
30,0.793,0.672,0.727,137
31,0.000,0.000,0.000,2
32,0.000,0.000,0.000,2
33,0.860,0.796,0.827,54
34,0.630,0.515,0.567,33
35,0.714,0.556,0.625,9
36,0.800,0.727,0.762,11
mac avg,0.704,0.651,0.673,8361
macro avg weighted,0.883893808449514,0.8861380217677312,0.8839189201734118,None
micro avg,0.8861380217677312,0.8861380217677312,0.8861380217677312,None
accuracy on this run=0.8861380217677312

han_2dinputN-fold results:
,precision, recall, f1, support
0,0.852,0.868,0.860,219
1,0.672,0.616,0.643,73
2,0.819,0.838,0.829,173
3,0.769,0.730,0.749,178
4,0.769,0.776,0.773,116
5,0.545,0.480,0.511,25
6,0.742,0.766,0.754,124
7,0.742,0.697,0.719,33
8,0.677,0.663,0.670,98
9,0.858,0.791,0.823,153
10,0.898,0.910,0.904,444
11,0.918,0.910,0.914,333
12,0.789,0.789,0.789,76
13,0.973,0.984,0.978,3949
14,0.809,0.837,0.823,258
15,0.727,0.691,0.709,81
16,0.672,0.678,0.675,236
17,0.200,0.087,0.121,23
18,0.859,0.837,0.848,196
19,0.357,0.455,0.400,22
20,0.791,0.756,0.773,406
21,0.884,0.919,0.901,382
22,0.760,0.697,0.727,132
23,0.691,0.744,0.716,129
24,0.467,0.438,0.452,32
25,0.575,0.605,0.590,38
26,0.787,0.740,0.763,50
27,0.698,0.750,0.723,80
28,0.000,0.000,0.000,2
29,0.722,0.750,0.736,52
30,0.715,0.642,0.677,137
31,0.000,0.000,0.000,2
32,0.000,0.000,0.000,2
33,0.778,0.778,0.778,54
34,0.630,0.515,0.567,33
35,0.625,0.556,0.588,9
36,0.727,0.727,0.727,11
mac avg,0.662,0.649,0.654,8361
macro avg weighted,0.8774497382502866,0.8799186700155484,0.8783624246689814,None
micro avg,0.8799186700155484,0.8799186700155484,0.8799186700155484,None
accuracy on this run=0.8799186700155484

