bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.880,0.836,0.857,219
1,0.671,0.671,0.671,73
2,0.788,0.815,0.801,173
3,0.690,0.713,0.702,178
4,0.755,0.716,0.735,116
5,0.577,0.600,0.588,25
6,0.773,0.823,0.797,124
7,0.833,0.758,0.794,33
8,0.716,0.643,0.677,98
9,0.892,0.863,0.877,153
10,0.859,0.905,0.882,444
11,0.888,0.901,0.894,333
12,0.846,0.868,0.857,76
13,0.982,0.983,0.982,3949
14,0.820,0.829,0.825,258
15,0.855,0.728,0.787,81
16,0.660,0.593,0.625,236
17,0.217,0.217,0.217,23
18,0.803,0.832,0.817,196
19,0.625,0.455,0.526,22
20,0.758,0.803,0.780,406
21,0.898,0.901,0.899,382
22,0.657,0.667,0.662,132
23,0.683,0.752,0.716,129
24,0.514,0.562,0.537,32
25,0.581,0.474,0.522,38
26,0.706,0.720,0.713,50
27,0.713,0.713,0.713,80
28,0.000,0.000,0.000,2
29,0.784,0.769,0.777,52
30,0.698,0.657,0.677,137
31,0.000,0.000,0.000,2
32,0.000,0.000,0.000,2
33,0.810,0.870,0.839,54
34,0.727,0.485,0.582,33
35,1.000,0.333,0.500,9
36,0.727,0.727,0.727,11
mac avg,0.686,0.654,0.664,8361
macro avg weighted,0.878059686180968,0.8788422437507475,0.87781619177854,None
micro avg,0.8788422437507475,0.8788422437507475,0.8788422437507474,None
accuracy on this run=0.8788422437507475

cnn[2,3,4](conv1d=100)|maxpooling1d=4|flatten|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.886,0.849,0.867,219
1,0.710,0.603,0.652,73
2,0.817,0.798,0.807,173
3,0.703,0.719,0.711,178
4,0.731,0.750,0.740,116
5,0.750,0.480,0.585,25
6,0.748,0.790,0.769,124
7,0.815,0.667,0.733,33
8,0.714,0.612,0.659,98
9,0.907,0.889,0.898,153
10,0.875,0.901,0.888,444
11,0.859,0.880,0.869,333
12,0.792,0.750,0.770,76
13,0.970,0.989,0.979,3949
14,0.779,0.791,0.785,258
15,0.808,0.728,0.766,81
16,0.664,0.653,0.658,236
17,0.308,0.174,0.222,23
18,0.784,0.816,0.800,196
19,0.750,0.273,0.400,22
20,0.767,0.800,0.783,406
21,0.885,0.890,0.888,382
22,0.679,0.720,0.699,132
23,0.746,0.775,0.760,129
24,0.593,0.500,0.542,32
25,0.607,0.447,0.515,38
26,0.727,0.640,0.681,50
27,0.700,0.700,0.700,80
28,0.000,0.000,0.000,2
29,0.800,0.692,0.742,52
30,0.693,0.577,0.629,137
31,0.000,0.000,0.000,2
32,0.000,0.000,0.000,2
33,0.818,0.833,0.826,54
34,0.531,0.515,0.523,33
35,0.500,0.333,0.400,9
36,0.600,0.545,0.571,11
mac avg,0.676,0.624,0.644,8361
macro avg weighted,0.8716347434318943,0.8753737591197225,0.8725881441787013,None
micro avg,0.8753737591197225,0.8753737591197225,0.8753737591197225,None
accuracy on this run=0.8753737591197225

han_2dinputN-fold results:
,precision, recall, f1, support
0,0.844,0.840,0.842,219
1,0.683,0.589,0.632,73
2,0.790,0.740,0.764,173
3,0.718,0.657,0.686,178
4,0.752,0.707,0.729,116
5,0.522,0.480,0.500,25
6,0.731,0.790,0.760,124
7,0.742,0.697,0.719,33
8,0.700,0.714,0.707,98
9,0.867,0.850,0.858,153
10,0.895,0.899,0.897,444
11,0.872,0.901,0.886,333
12,0.805,0.816,0.810,76
13,0.979,0.986,0.982,3949
14,0.789,0.783,0.786,258
15,0.814,0.704,0.755,81
16,0.616,0.640,0.628,236
17,0.238,0.217,0.227,23
18,0.802,0.847,0.824,196
19,0.615,0.364,0.457,22
20,0.735,0.800,0.767,406
21,0.897,0.908,0.902,382
22,0.711,0.652,0.680,132
23,0.720,0.736,0.728,129
24,0.457,0.500,0.478,32
25,0.649,0.632,0.640,38
26,0.604,0.640,0.621,50
27,0.718,0.700,0.709,80
28,0.000,0.000,0.000,2
29,0.776,0.731,0.752,52
30,0.643,0.606,0.624,137
31,0.000,0.000,0.000,2
32,0.000,0.000,0.000,2
33,0.863,0.815,0.838,54
34,0.680,0.515,0.586,33
35,0.333,0.111,0.167,9
36,1.000,0.727,0.842,11
mac avg,0.664,0.630,0.643,8361
macro avg weighted,0.8714903372354581,0.873340509508432,0.8718928562933871,None
micro avg,0.873340509508432,0.873340509508432,0.873340509508432,None
accuracy on this run=0.873340509508432

