bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.849,0.845,0.847,200
1,0.722,0.684,0.703,19
2,0.537,0.489,0.512,45
3,0.875,0.840,0.857,25
4,0.000,0.000,0.000,3
5,0.700,0.875,0.778,8
6,0.000,0.000,0.000,4
7,0.667,0.400,0.500,5
8,0.688,0.611,0.647,18
9,0.583,0.700,0.636,10
10,0.000,0.000,0.000,3
11,0.300,0.429,0.353,7
12,0.634,0.667,0.650,39
13,0.919,0.907,0.913,75
14,0.000,0.000,0.000,1
15,0.000,0.000,0.000,3
16,0.491,0.459,0.475,61
17,0.832,0.868,0.849,91
18,0.167,0.200,0.182,5
19,0.632,0.632,0.632,19
20,0.000,0.000,0.000,2
21,0.754,0.881,0.812,59
22,0.625,0.500,0.556,20
23,0.571,0.600,0.585,20
24,0.500,0.364,0.421,11
25,0.000,0.000,0.000,3
26,1.000,0.333,0.500,3
27,0.583,0.438,0.500,16
28,0.500,0.500,0.500,8
29,0.000,0.000,0.000,1
30,0.789,0.815,0.802,124
31,0.657,0.697,0.676,33
32,0.333,0.333,0.333,15
33,0.614,0.622,0.618,82
34,0.000,0.000,0.000,1
35,0.854,0.843,0.849,153
36,0.874,0.878,0.876,444
37,0.885,0.904,0.895,333
38,0.838,0.816,0.827,76
39,0.977,0.982,0.980,3949
40,0.683,0.659,0.671,85
41,0.746,0.810,0.776,105
42,1.000,1.000,1.000,2
43,0.771,0.818,0.794,66
44,0.778,0.691,0.732,81
45,0.714,0.657,0.684,236
46,0.111,0.100,0.105,10
47,0.143,0.077,0.100,13
48,0.832,0.832,0.832,196
49,0.647,0.500,0.564,22
50,0.627,0.712,0.667,73
51,0.444,0.455,0.449,44
52,0.719,0.779,0.748,289
53,0.875,0.900,0.888,281
54,0.927,0.881,0.904,101
55,0.727,0.750,0.738,64
56,0.692,0.692,0.692,52
57,0.000,0.000,0.000,4
58,0.364,0.333,0.348,12
59,0.698,0.752,0.724,129
60,0.562,0.562,0.562,32
61,0.759,0.579,0.657,38
62,0.804,0.820,0.812,50
63,0.750,0.713,0.731,80
64,0.000,0.000,0.000,2
65,0.719,0.788,0.752,52
66,0.762,0.679,0.718,137
67,0.000,0.000,0.000,2
68,0.000,0.000,0.000,2
69,0.889,0.889,0.889,54
70,0.645,0.606,0.625,33
71,1.000,0.625,0.769,8
72,0.000,0.000,0.000,1
73,0.000,0.000,0.000,1
74,0.000,0.000,0.000,2
75,1.000,1.000,1.000,8
mac avg,0.544,0.523,0.529,8361
macro avg weighted,0.8656583831993515,0.8684367898576725,0.8664440398024925,None
micro avg,0.8684367898576725,0.8684367898576725,0.8684367898576725,None
accuracy on this run=0.8684367898576725

cnn[2,3,4](conv1d=100)|maxpooling1d=4|flatten|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.850,0.875,0.862,200
1,0.714,0.526,0.606,19
2,0.488,0.467,0.477,45
3,1.000,0.720,0.837,25
4,0.000,0.000,0.000,3
5,0.538,0.875,0.667,8
6,0.000,0.000,0.000,4
7,0.333,0.200,0.250,5
8,0.643,0.500,0.563,18
9,0.417,0.500,0.455,10
10,0.000,0.000,0.000,3
11,0.500,0.571,0.533,7
12,0.758,0.641,0.694,39
13,0.925,0.827,0.873,75
14,0.000,0.000,0.000,1
15,0.000,0.000,0.000,3
16,0.475,0.311,0.376,61
17,0.832,0.868,0.849,91
18,1.000,0.200,0.333,5
19,0.706,0.632,0.667,19
20,0.000,0.000,0.000,2
21,0.703,0.881,0.782,59
22,0.500,0.350,0.412,20
23,0.625,0.500,0.556,20
24,0.833,0.455,0.588,11
25,0.000,0.000,0.000,3
26,0.000,0.000,0.000,3
27,0.875,0.438,0.583,16
28,0.667,0.500,0.571,8
29,0.000,0.000,0.000,1
