bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.500,0.645,0.563,31
1,0.000,0.000,0.000,5
2,0.718,0.718,0.718,163
3,0.000,0.000,0.000,1
4,0.389,0.368,0.378,19
5,0.000,0.000,0.000,1
6,0.444,0.444,0.444,36
7,0.500,0.500,0.500,4
8,0.000,0.000,0.000,3
9,0.000,0.000,0.000,1
10,0.957,0.880,0.917,25
11,0.000,0.000,0.000,3
12,0.000,0.000,0.000,2
13,0.600,0.500,0.545,6
14,0.000,0.000,0.000,1
15,0.000,0.000,0.000,2
16,0.000,0.000,0.000,1
17,0.250,0.200,0.222,5
18,1.000,1.000,1.000,2
19,0.526,0.667,0.588,15
20,0.000,0.000,0.000,1
21,0.200,0.250,0.222,4
22,0.333,0.333,0.333,3
23,1.000,0.667,0.800,3
24,0.667,1.000,0.800,2
25,0.000,0.000,0.000,1
26,0.000,0.000,0.000,1
27,0.000,0.000,0.000,6
28,0.000,0.000,0.000,7
29,0.559,0.679,0.613,28
30,0.000,0.000,0.000,3
31,0.000,0.000,0.000,1
32,0.833,0.800,0.816,75
33,0.000,0.000,0.000,1
34,0.000,0.000,0.000,3
35,0.324,0.379,0.349,29
36,0.000,0.000,0.000,2
37,0.000,0.000,0.000,2
38,0.000,0.000,0.000,1
39,0.474,0.692,0.562,13
40,0.000,0.000,0.000,1
41,0.000,0.000,0.000,3
42,0.000,0.000,0.000,2
43,0.000,0.000,0.000,1
44,0.667,1.000,0.800,4
45,0.000,0.000,0.000,3
46,0.750,0.600,0.667,5
47,0.720,0.787,0.752,75
48,0.000,0.000,0.000,1
49,0.571,0.400,0.471,10
50,0.000,0.000,0.000,1
51,0.000,0.000,0.000,4
52,0.556,0.526,0.541,19
53,0.000,0.000,0.000,2
54,0.586,0.739,0.654,46
55,0.000,0.000,0.000,1
56,0.389,0.583,0.467,12
57,0.333,0.333,0.333,3
58,0.471,0.500,0.485,16
59,0.000,0.000,0.000,1
60,0.222,0.250,0.235,8
61,0.375,0.273,0.316,11
62,0.000,0.000,0.000,1
63,1.000,0.833,0.909,6
64,0.000,0.000,0.000,1
65,0.000,0.000,0.000,4
66,0.000,0.000,0.000,3
67,0.000,0.000,0.000,3
68,0.000,0.000,0.000,5
69,0.750,0.545,0.632,11
70,0.385,0.625,0.476,8
71,0.000,0.000,0.000,1
72,0.750,0.429,0.545,7
73,0.685,0.679,0.682,109
74,0.000,0.000,0.000,1
75,0.857,0.857,0.857,7
76,0.071,0.100,0.083,10
77,0.714,0.500,0.588,10
78,0.500,0.462,0.480,13
79,0.571,0.400,0.471,10
80,0.000,0.000,0.000,4
81,0.000,0.000,0.000,1
82,0.688,0.524,0.595,21
83,0.333,0.200,0.250,10
84,1.000,0.333,0.500,3
85,0.200,0.111,0.143,9
86,0.000,0.000,0.000,5
87,0.000,0.000,0.000,5
88,0.529,0.621,0.571,29
89,0.000,0.000,0.000,1
90,0.400,0.286,0.333,7
91,0.000,0.000,0.000,2
92,0.643,0.740,0.688,100
93,0.730,0.711,0.720,38
94,0.500,0.333,0.400,6
95,0.842,0.856,0.849,174
96,0.776,0.876,0.823,210
97,0.845,0.831,0.838,59
98,0.000,0.000,0.000,1
99,0.600,0.600,0.600,35
100,0.720,0.720,0.720,125
101,0.325,0.302,0.313,43
102,0.646,0.721,0.681,43
103,0.774,0.727,0.750,33
104,0.000,0.000,0.000,2
105,0.538,0.618,0.575,34
106,0.500,0.562,0.529,16
107,0.000,0.000,0.000,1
108,0.000,0.000,0.000,1
109,0.743,0.743,0.743,35
110,0.000,0.000,0.000,1
111,0.795,0.795,0.795,39
112,0.000,0.000,0.000,1
113,0.912,0.910,0.911,601
114,0.562,0.537,0.550,67
115,0.689,0.664,0.677,137
116,0.286,0.200,0.235,10
117,0.462,0.375,0.414,16
118,0.500,0.417,0.455,60
119,0.955,0.975,0.965,3007
120,0.700,0.452,0.549,31
121,0.421,0.400,0.410,20
122,0.000,0.000,0.000,5
123,0.000,0.000,0.000,5
124,0.000,0.000,0.000,3
125,0.543,0.576,0.559,33
126,0.429,0.429,0.429,21
127,0.800,0.667,0.727,18
128,0.759,0.768,0.764,82
129,0.556,0.682,0.612,22
130,0.000,0.000,0.000,1
131,1.000,0.500,0.667,2
132,0.456,0.562,0.503,64
133,0.000,0.000,0.000,2
134,0.000,0.000,0.000,3
135,0.000,0.000,0.000,1
136,0.571,0.647,0.607,68
137,0.000,0.000,0.000,1
138,0.000,0.000,0.000,1
139,0.000,0.000,0.000,2
140,0.000,0.000,0.000,1
141,0.000,0.000,0.000,1
142,0.000,0.000,0.000,3
143,0.000,0.000,0.000,2
144,0.357,0.312,0.333,16
145,0.455,0.357,0.400,14
146,0.000,0.000,0.000,5
147,0.273,0.250,0.261,12
148,0.167,0.167,0.167,6
149,0.500,0.200,0.286,5
150,0.611,0.564,0.587,39
151,0.667,0.696,0.681,23
152,0.000,0.000,0.000,1
153,0.000,0.000,0.000,3
154,0.267,0.222,0.242,18
155,0.250,0.250,0.250,4
156,0.312,0.357,0.333,14
157,0.000,0.000,0.000,3
158,0.552,0.615,0.582,26
159,0.188,0.273,0.222,11
160,0.000,0.000,0.000,3
161,0.750,0.774,0.762,31
162,0.000,0.000,0.000,1
163,0.000,0.000,0.000,1
164,0.333,0.250,0.286,4
165,0.000,0.000,0.000,1
166,0.400,0.667,0.500,3
167,0.000,0.000,0.000,4
168,0.000,0.000,0.000,5
169,0.000,0.000,0.000,3
170,0.000,0.000,0.000,1
171,0.714,0.682,0.698,44
172,0.000,0.000,0.000,1
173,0.851,0.870,0.860,46
174,0.725,0.690,0.707,84
175,0.333,0.333,0.333,12
176,0.000,0.000,0.000,1
177,0.500,0.375,0.429,8
178,0.600,0.600,0.600,5
179,0.000,0.000,0.000,1
180,0.667,0.667,0.667,6
181,1.000,0.400,0.571,10
182,0.125,0.100,0.111,20
183,0.263,0.333,0.294,15
184,0.455,0.385,0.417,13
185,0.947,0.900,0.923,20
186,0.667,1.000,0.800,2
187,0.000,0.000,0.000,3
188,0.333,0.174,0.229,23
189,0.353,0.333,0.343,18
190,0.000,0.000,0.000,3
191,0.626,0.695,0.659,197
192,0.536,0.612,0.571,49
193,0.909,0.833,0.870,12
194,0.677,0.677,0.677,31
195,0.688,0.733,0.710,15
196,0.650,0.553,0.598,47
197,0.222,0.286,0.250,7
198,0.000,0.000,0.000,1
199,0.714,0.714,0.714,7
200,0.884,0.844,0.864,45
201,0.679,0.735,0.706,49
202,0.705,0.821,0.759,67
203,0.400,0.286,0.333,7
204,0.000,0.000,0.000,1
205,0.857,0.750,0.800,8
206,0.000,0.000,0.000,4
207,0.900,0.750,0.818,12
208,0.111,0.111,0.111,9
209,0.000,0.000,0.000,2
210,0.804,0.891,0.845,92
211,0.300,0.333,0.316,9
212,0.000,0.000,0.000,1
213,0.700,0.724,0.712,58
214,0.000,0.000,0.000,5
215,0.586,0.654,0.618,52
216,0.000,0.000,0.000,4
217,0.250,0.333,0.286,12
218,0.000,0.000,0.000,2
219,1.000,0.714,0.833,7
220,0.364,0.429,0.393,28
221,0.286,0.400,0.333,15
222,0.750,0.692,0.720,52
223,0.667,0.375,0.480,16
224,0.333,0.222,0.267,9
225,0.000,0.000,0.000,2
226,0.000,0.000,0.000,1
227,0.000,0.000,0.000,1
228,0.000,0.000,0.000,1
229,0.000,0.000,0.000,1
230,0.000,0.000,0.000,5
231,0.000,0.000,0.000,4
232,0.333,0.143,0.200,7
233,0.000,0.000,0.000,2
234,0.000,0.000,0.000,3
235,1.000,0.333,0.500,3
236,0.000,0.000,0.000,1
237,0.000,0.000,0.000,1
238,0.500,0.400,0.444,15
239,0.000,0.000,0.000,5
240,0.000,0.000,0.000,1
241,0.000,0.000,0.000,2
242,0.000,0.000,0.000,1
243,0.000,0.000,0.000,1
244,0.000,0.000,0.000,1
245,0.000,0.000,0.000,2
246,0.667,0.750,0.706,8
247,0.000,0.000,0.000,1
248,0.000,0.000,0.000,1
249,0.000,0.000,0.000,2
250,0.600,0.750,0.667,4
251,0.473,0.591,0.525,44
252,0.000,0.000,0.000,2
253,0.429,0.429,0.429,7
254,0.000,0.000,0.000,4
255,0.000,0.000,0.000,1
256,0.000,0.000,0.000,1
257,0.000,0.000,0.000,2
258,0.600,0.500,0.545,18
259,0.200,0.200,0.200,5
260,0.692,0.900,0.783,20
261,0.000,0.000,0.000,1
262,0.750,0.429,0.545,7
263,0.000,0.000,0.000,1
264,0.800,0.667,0.727,6
265,0.000,0.000,0.000,5
266,0.000,0.000,0.000,2
267,0.674,0.596,0.633,52
268,0.167,0.091,0.118,11
269,0.333,0.294,0.312,17
270,0.000,0.000,0.000,1
271,0.500,0.476,0.488,21
272,0.000,0.000,0.000,1
273,0.269,0.333,0.298,21
274,0.000,0.000,0.000,1
275,0.500,0.333,0.400,3
276,0.667,0.667,0.667,60
277,0.000,0.000,0.000,1
278,0.000,0.000,0.000,2
279,0.000,0.000,0.000,2
280,0.000,0.000,0.000,1
281,0.690,0.755,0.721,53
282,0.000,0.000,0.000,4
283,0.545,0.621,0.581,29
284,0.500,0.500,0.500,8
285,0.000,0.000,0.000,1
286,0.000,0.000,0.000,1
287,0.000,0.000,0.000,2
288,0.875,0.875,0.875,8
mac avg,0.308,0.293,0.295,8361
macro avg weighted,0.7488030604295594,0.76115297213252,0.7529624098251297,None
micro avg,0.76115297213252,0.76115297213252,0.76115297213252,None
accuracy on this run=0.76115297213252

cnn[2,3,4](conv1d=100)|maxpooling1d=4|flatten|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.447,0.548,0.493,31
1,0.000,0.000,0.000,5
2,0.727,0.687,0.707,163
3,0.000,0.000,0.000,1
4,0.429,0.474,0.450,19
5,0.000,0.000,0.000,1
6,0.344,0.306,0.324,36
7,1.000,0.500,0.667,4
8,0.000,0.000,0.000,3
9,0.000,0.000,0.000,1
10,0.870,0.800,0.833,25
11,0.000,0.000,0.000,3
12,0.000,0.000,0.000,2
13,0.333,0.500,0.400,6
14,0.000,0.000,0.000,1
15,0.000,0.000,0.000,2
16,0.000,0.000,0.000,1
17,0.333,0.200,0.250,5
18,0.667,1.000,0.800,2
19,0.727,0.533,0.615,15
20,0.000,0.000,0.000,1
21,0.750,0.750,0.750,4
22,0.000,0.000,0.000,3
23,1.000,0.667,0.800,3
24,0.500,0.500,0.500,2
25,0.000,0.000,0.000,1
26,0.000,0.000,0.000,1
27,0.167,0.333,0.222,6
28,0.000,0.000,0.000,7
29,0.529,0.643,0.581,28
30,0.000,0.000,0.000,3
31,0.000,0.000,0.000,1
32,0.789,0.800,0.795,75
33,0.000,0.000,0.000,1
34,1.000,0.333,0.500,3
35,0.222,0.207,0.214,29
36,0.000,0.000,0.000,2
37,0.000,0.000,0.000,2
38,0.000,0.000,0.000,1
39,1.000,0.462,0.632,13
40,0.000,0.000,0.000,1
41,0.000,0.000,0.000,3
42,0.000,0.000,0.000,2
43,0.000,0.000,0.000,1
44,0.333,0.250,0.286,4
45,0.000,0.000,0.000,3
46,1.000,0.400,0.571,5
47,0.630,0.773,0.695,75
48,0.000,0.000,0.000,1
49,0.571,0.400,0.471,10
50,0.000,0.000,0.000,1
51,0.000,0.000,0.000,4
52,0.400,0.316,0.353,19
53,0.000,0.000,0.000,2
54,0.619,0.848,0.716,46
55,0.000,0.000,0.000,1
56,0.667,0.667,0.667,12
57,0.000,0.000,0.000,3
58,0.667,0.500,0.571,16
59,0.000,0.000,0.000,1
60,0.600,0.375,0.462,8
61,0.500,0.273,0.353,11
62,0.000,0.000,0.000,1
63,1.000,0.667,0.800,6
64,0.000,0.000,0.000,1
65,1.000,0.500,0.667,4
66,0.000,0.000,0.000,3
67,0.000,0.000,0.000,3
68,0.000,0.000,0.000,5
69,0.750,0.545,0.632,11
70,0.556,0.625,0.588,8
71,0.000,0.000,0.000,1
72,0.429,0.429,0.429,7
73,0.641,0.771,0.700,109
74,0.000,0.000,0.000,1
75,1.000,0.857,0.923,7
76,0.091,0.100,0.095,10
77,0.545,0.600,0.571,10
78,0.444,0.308,0.364,13
79,0.500,0.300,0.375,10
80,0.000,0.000,0.000,4
81,0.000,0.000,0.000,1
82,0.643,0.429,0.514,21
83,0.500,0.200,0.286,10
84,1.000,0.333,0.500,3
85,0.500,0.111,0.182,9
86,0.000,0.000,0.000,5
87,0.000,0.000,0.000,5
88,0.679,0.655,0.667,29
89,0.000,0.000,0.000,1
90,0.500,0.429,0.462,7
91,0.000,0.000,0.000,2
92,0.620,0.620,0.620,100
93,0.610,0.658,0.633,38
94,0.000,0.000,0.000,6
95,0.842,0.885,0.863,174
96,0.763,0.905,0.828,210
97,0.898,0.898,0.898,59
98,0.000,0.000,0.000,1
99,0.731,0.543,0.623,35
100,0.664,0.792,0.723,125
101,0.385,0.233,0.290,43
102,0.674,0.721,0.697,43
103,0.667,0.667,0.667,33
104,0.000,0.000,0.000,2
105,0.636,0.618,0.627,34
106,0.333,0.375,0.353,16
107,0.000,0.000,0.000,1
108,0.000,0.000,0.000,1
109,0.757,0.800,0.778,35
110,0.000,0.000,0.000,1
111,0.784,0.744,0.763,39
112,0.000,0.000,0.000,1
113,0.893,0.927,0.909,601
114,0.644,0.567,0.603,67
115,0.671,0.730,0.699,137
116,0.500,0.100,0.167,10
117,0.556,0.312,0.400,16
118,0.596,0.467,0.523,60
119,0.950,0.977,0.963,3007
120,0.750,0.387,0.511,31
121,0.643,0.450,0.529,20
122,0.000,0.000,0.000,5
123,0.000,0.000,0.000,5
124,0.000,0.000,0.000,3
125,0.690,0.606,0.645,33
126,0.524,0.524,0.524,21
127,0.750,0.667,0.706,18
128,0.790,0.780,0.785,82
129,0.560,0.636,0.596,22
130,0.000,0.000,0.000,1
131,0.000,0.000,0.000,2
132,0.560,0.656,0.604,64
133,0.000,0.000,0.000,2
134,0.000,0.000,0.000,3
135,0.000,0.000,0.000,1
136,0.716,0.706,0.711,68
137,0.000,0.000,0.000,1
138,0.000,0.000,0.000,1
139,0.000,0.000,0.000,2
140,0.000,0.000,0.000,1
141,0.000,0.000,0.000,1
142,0.000,0.000,0.000,3
143,0.000,0.000,0.000,2
144,0.429,0.375,0.400,16
145,0.385,0.357,0.370,14
146,0.000,0.000,0.000,5
147,0.250,0.333,0.286,12
148,0.000,0.000,0.000,6
149,0.000,0.000,0.000,5
150,0.615,0.615,0.615,39
151,0.621,0.783,0.692,23
152,0.000,0.000,0.000,1
153,1.000,0.333,0.500,3
154,0.100,0.056,0.071,18
155,0.000,0.000,0.000,4
156,0.556,0.357,0.435,14
157,0.000,0.000,0.000,3
158,0.528,0.731,0.613,26
159,0.222,0.182,0.200,11
160,0.500,0.333,0.400,3
161,0.774,0.774,0.774,31
162,0.000,0.000,0.000,1
163,0.000,0.000,0.000,1
164,0.250,0.250,0.250,4
165,0.000,0.000,0.000,1
166,1.000,0.667,0.800,3
167,0.000,0.000,0.000,4
168,0.000,0.000,0.000,5
169,0.000,0.000,0.000,3
170,0.000,0.000,0.000,1
171,0.703,0.591,0.642,44
172,0.000,0.000,0.000,1
173,0.830,0.848,0.839,46
174,0.641,0.702,0.670,84
175,0.286,0.167,0.211,12
176,0.000,0.000,0.000,1
177,0.200,0.125,0.154,8
178,0.500,0.400,0.444,5
179,0.000,0.000,0.000,1
180,1.000,0.333,0.500,6
181,0.333,0.200,0.250,10
182,0.000,0.000,0.000,20
183,0.250,0.267,0.258,15
184,0.571,0.308,0.400,13
185,0.947,0.900,0.923,20
186,0.500,1.000,0.667,2
187,0.000,0.000,0.000,3
188,0.375,0.391,0.383,23
189,0.364,0.222,0.276,18
190,0.000,0.000,0.000,3
191,0.577,0.685,0.626,197
192,0.585,0.633,0.608,49
193,1.000,0.917,0.957,12
194,0.645,0.645,0.645,31
195,0.579,0.733,0.647,15
196,0.659,0.574,0.614,47
197,0.200,0.143,0.167,7
198,0.000,0.000,0.000,1
199,0.833,0.714,0.769,7
200,0.897,0.778,0.833,45
201,0.766,0.735,0.750,49
202,0.875,0.836,0.855,67
203,0.556,0.714,0.625,7
204,0.000,0.000,0.000,1
205,1.000,0.625,0.769,8
206,0.000,0.000,0.000,4
207,0.714,0.833,0.769,12
208,0.214,0.333,0.261,9
209,0.000,0.000,0.000,2
210,0.766,0.924,0.837,92
211,0.250,0.111,0.154,9
212,0.000,0.000,0.000,1
213,0.620,0.759,0.682,58
214,0.000,0.000,0.000,5
215,0.628,0.519,0.568,52
216,0.000,0.000,0.000,4
217,0.231,0.250,0.240,12
218,0.000,0.000,0.000,2
219,1.000,1.000,1.000,7
220,0.500,0.500,0.500,28
221,0.200,0.133,0.160,15
222,0.661,0.712,0.685,52
223,0.200,0.312,0.244,16
224,0.400,0.222,0.286,9
225,0.000,0.000,0.000,2
226,0.000,0.000,0.000,1
227,0.000,0.000,0.000,1
228,0.000,0.000,0.000,1
229,0.000,0.000,0.000,1
230,0.000,0.000,0.000,5
231,0.000,0.000,0.000,4
232,0.250,0.143,0.182,7
233,0.000,0.000,0.000,2
234,0.000,0.000,0.000,3
235,1.000,1.000,1.000,3
236,0.000,0.000,0.000,1
237,0.000,0.000,0.000,1
238,0.375,0.200,0.261,15
239,0.000,0.000,0.000,5
240,0.000,0.000,0.000,1
241,0.000,0.000,0.000,2
242,0.000,0.000,0.000,1
243,0.000,0.000,0.000,1
244,0.000,0.000,0.000,1
245,0.000,0.000,0.000,2
246,0.667,1.000,0.800,8
247,0.000,0.000,0.000,1
248,0.000,0.000,0.000,1
249,0.000,0.000,0.000,2
250,0.600,0.750,0.667,4
251,0.377,0.523,0.438,44
252,0.000,0.000,0.000,2
253,0.500,0.286,0.364,7
254,0.333,0.250,0.286,4
255,0.000,0.000,0.000,1
256,0.000,0.000,0.000,1
257,0.000,0.000,0.000,2
258,0.600,0.667,0.632,18
259,0.250,0.200,0.222,5
260,0.857,0.900,0.878,20
261,0.000,0.000,0.000,1
262,0.500,0.429,0.462,7
263,0.000,0.000,0.000,1
264,0.571,0.667,0.615,6
265,0.000,0.000,0.000,5
266,0.000,0.000,0.000,2
267,0.486,0.654,0.557,52
268,0.000,0.000,0.000,11
269,0.286,0.235,0.258,17
270,0.000,0.000,0.000,1
271,0.500,0.524,0.512,21
272,0.000,0.000,0.000,1
273,0.412,0.333,0.368,21
274,0.000,0.000,0.000,1
275,0.000,0.000,0.000,3
276,0.561,0.617,0.587,60
