bilstm=100-False|dense=?-softmax|glvN-fold results:
,precision, recall, f1, support
0,0.514,0.613,0.559,31
1,0.333,0.400,0.364,5
2,0.762,0.706,0.732,163
3,0.000,0.000,0.000,1
4,0.429,0.316,0.364,19
5,0.000,0.000,0.000,1
6,0.435,0.556,0.488,36
7,0.667,0.500,0.571,4
8,0.000,0.000,0.000,3
9,0.000,0.000,0.000,1
10,0.793,0.920,0.852,25
11,0.000,0.000,0.000,3
12,1.000,0.500,0.667,2
13,0.400,0.667,0.500,6
14,0.000,0.000,0.000,1
15,0.000,0.000,0.000,2
16,0.000,0.000,0.000,1
17,0.200,0.200,0.200,5
18,1.000,1.000,1.000,2
19,0.500,0.533,0.516,15
20,0.000,0.000,0.000,1
21,0.250,0.250,0.250,4
22,0.000,0.000,0.000,3
23,1.000,0.667,0.800,3
24,0.000,0.000,0.000,2
25,0.000,0.000,0.000,1
26,0.000,0.000,0.000,1
27,0.364,0.667,0.471,6
28,0.100,0.143,0.118,7
29,0.704,0.679,0.691,28
30,0.000,0.000,0.000,3
31,0.000,0.000,0.000,1
32,0.853,0.773,0.811,75
33,0.000,0.000,0.000,1
34,0.000,0.000,0.000,3
35,0.276,0.276,0.276,29
36,0.000,0.000,0.000,2
37,0.000,0.000,0.000,2
38,0.000,0.000,0.000,1
39,0.444,0.615,0.516,13
40,0.000,0.000,0.000,1
41,0.000,0.000,0.000,3
42,0.000,0.000,0.000,2
43,0.000,0.000,0.000,1
44,0.400,0.500,0.444,4
45,0.000,0.000,0.000,3
46,0.400,0.400,0.400,5
47,0.702,0.787,0.742,75
48,0.000,0.000,0.000,1
49,0.333,0.300,0.316,10
50,0.000,0.000,0.000,1
51,0.000,0.000,0.000,4
52,0.583,0.737,0.651,19
53,0.000,0.000,0.000,2
54,0.549,0.609,0.577,46
55,0.000,0.000,0.000,1
56,0.438,0.583,0.500,12
57,0.000,0.000,0.000,3
58,0.375,0.562,0.450,16
59,0.000,0.000,0.000,1
60,0.125,0.125,0.125,8
61,0.778,0.636,0.700,11
62,0.000,0.000,0.000,1
63,1.000,0.833,0.909,6
64,0.000,0.000,0.000,1
65,1.000,0.500,0.667,4
66,0.500,0.333,0.400,3
67,0.000,0.000,0.000,3
68,0.000,0.000,0.000,5
69,0.778,0.636,0.700,11
70,0.625,0.625,0.625,8
71,0.000,0.000,0.000,1
72,0.800,0.571,0.667,7
73,0.700,0.771,0.734,109
74,0.000,0.000,0.000,1
75,1.000,0.857,0.923,7
76,0.154,0.200,0.174,10
77,0.556,0.500,0.526,10
78,0.400,0.462,0.429,13
79,0.500,0.400,0.444,10
80,0.333,0.250,0.286,4
81,0.000,0.000,0.000,1
82,0.471,0.381,0.421,21
83,0.286,0.200,0.235,10
84,0.000,0.000,0.000,3
85,0.100,0.111,0.105,9
86,0.000,0.000,0.000,5
87,0.333,0.400,0.364,5
88,0.588,0.690,0.635,29
89,0.000,0.000,0.000,1
90,0.333,0.286,0.308,7
91,0.000,0.000,0.000,2
92,0.722,0.650,0.684,100
93,0.667,0.737,0.700,38
94,0.500,0.667,0.571,6
95,0.816,0.868,0.841,174
96,0.800,0.819,0.809,210
97,0.873,0.814,0.842,59
98,0.000,0.000,0.000,1
99,0.667,0.571,0.615,35
100,0.725,0.824,0.772,125
101,0.357,0.233,0.282,43
102,0.683,0.651,0.667,43
103,0.676,0.758,0.714,33
104,0.000,0.000,0.000,2
105,0.500,0.559,0.528,34
